-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,
Dates (month/day/year): 10/14/2022 through 11/14/2023 in LST,,,,,,,
Location: Latitude  12.9764   Longitude 77.5722 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,HR,PRECTOTCORR,T2M,WS10M,RH2M
2022,10,18,15,3.13,26.11,1.93,72.45
2022,10,18,16,4.56,24.95,1.94,79.93
2022,10,18,17,5.42,23.43,1.86,87.22
2022,10,18,18,7.43,22.54,1.84,92.07
2022,10,18,19,10.18,22.1,1.62,93.82
2022,10,18,20,14.09,21.8,1.48,95.05
2022,10,18,21,18.64,21.53,1.31,95.97
2022,10,18,22,25.05,21.3,1.32,96.49
2022,10,18,23,33.08,21.14,1.39,96.75
2022,10,19,0,42.35,20.93,1.43,96.83
2022,10,19,1,48.59,20.76,1.59,97.07
2022,10,19,2,46.9,20.61,1.86,96.98
2022,10,19,3,35.34,20.43,2.12,96.69
2022,10,19,4,17.96,20.25,2.23,96.83
2022,10,19,5,4.81,20.1,2.17,97
2022,10,19,6,0.59,20.27,2.24,96.55
2022,10,19,7,0.08,21.12,2.45,92.78
2022,10,19,8,6.59,22.69,2.13,85.03
2022,10,19,9,1.08,24.44,1.77,77.47
2022,10,19,10,1,25.64,1.42,72.34
2022,10,19,11,2.62,26.3,1.2,69.33
2022,10,19,12,12.04,26.83,1.07,66.95
2022,10,19,13,24.33,27.05,1.01,65.51
2022,10,19,14,27.94,26.96,1.07,65.34
2022,10,19,15,28,26.49,1.12,67.34
2022,10,19,16,34.78,25.92,0.96,72.47
2022,10,19,17,13.78,24.6,1.07,80.03
2022,10,19,18,4.13,23.5,1.14,85.97
2022,10,19,19,1.89,22.76,1.32,89.83
2022,10,19,20,3.03,22.13,1.51,92.64
2022,10,19,21,7.96,21.62,1.66,94.25
2022,10,19,22,14.83,21.19,1.77,95.25
2022,10,19,23,32.4,20.84,1.93,96.04
2022,10,20,0,59.61,20.52,2.07,96.56
2022,10,20,1,80.11,20.2,2.1,97.02
2022,10,20,2,117.46,19.8,1.99,97.85
2022,10,20,3,85.69,19.39,1.91,98.64
2022,10,20,4,82.79,19.19,1.84,98.94
2022,10,20,5,31.77,19.07,1.77,99.09
2022,10,20,6,23.55,19.83,2.32,97.35
2022,10,20,7,9.89,21.36,2.86,93.71
2022,10,20,8,0.04,23.3,3.17,85.68
2022,10,20,9,0.01,25.07,3.21,75.55
2022,10,20,10,0.04,26.39,3.15,69.05
2022,10,20,11,0.52,27.3,2.75,65.66
2022,10,20,12,1.16,27.74,2.15,64.06
2022,10,20,13,1.82,27.65,1.94,63.98
2022,10,20,14,2.25,27.18,2.21,65.78
2022,10,20,15,2.43,26.47,2.47,70.55
2022,10,20,16,2.68,25.56,2.42,76.87
2022,10,20,17,2.26,23.85,2.19,86.76
2022,10,20,18,2.17,22.71,2.2,91.56
2022,10,20,19,2.16,22.29,2.46,92.83
2022,10,20,20,2.74,21.92,2.77,94.08
2022,10,20,21,3.64,21.61,3.04,95.23
2022,10,20,22,2.78,21.32,3.19,96.28
2022,10,20,23,2.17,20.98,2.88,97.32
2022,10,21,0,1.34,20.72,2.68,97.7
2022,10,21,1,0.82,20.49,2.6,97.95
2022,10,21,2,0.6,20.31,2.58,98.15
2022,10,21,3,0.47,20.11,2.52,98.2
2022,10,21,4,0.32,19.92,2.4,98.35
2022,10,21,5,0.22,19.69,2.19,98.61
2022,10,21,6,0.16,20.12,2.8,96.99
2022,10,21,7,0.07,20.95,3.51,92.71
2022,10,21,8,0.05,22.13,3.7,85.1
2022,10,21,9,0.07,23.73,3.83,75.41
2022,10,21,10,0.33,24.91,4,70.29
2022,10,21,11,0.81,25.69,3.92,68.65
2022,10,21,12,1.23,26.19,3.7,68.02
2022,10,21,13,1.58,26.51,3.45,67.49
2022,10,21,14,2.04,26.43,3.28,68.2
2022,10,21,15,1.68,25.95,3.1,71.25
2022,10,21,16,1.72,24.96,2.66,77.67
2022,10,21,17,1.91,23.31,2.14,87.9
2022,10,21,18,1.92,22.2,2.04,92.54
2022,10,21,19,2,21.73,2.14,94.11
2022,10,21,20,1.9,21.37,2.29,95.37
2022,10,21,21,1.66,20.99,2.32,96.41
2022,10,21,22,1.36,20.46,2.21,98
2022,10,21,23,1.13,19.94,2.07,99.58
2022,10,22,0,0.63,19.66,1.94,100
2022,10,22,1,0.32,19.44,1.85,100
2022,10,22,2,0.21,19.21,1.78,100
2022,10,22,3,0.16,18.94,1.73,100
2022,10,22,4,0.14,18.71,1.71,100
2022,10,22,5,0.11,18.51,1.73,99.8
2022,10,22,6,0.1,19.09,2.49,97.31
2022,10,22,7,0.06,20.43,3.34,91.91
2022,10,22,8,0.01,22.4,4.24,82.13
2022,10,22,9,0.04,24.18,4.74,73.57
2022,10,22,10,0.15,25.45,4.73,69.49
2022,10,22,11,0.33,26.31,4.56,68
2022,10,22,12,0.54,26.69,4.46,67.74
2022,10,22,13,0.72,26.74,4.53,67.98
2022,10,22,14,0.71,26.46,4.59,68.66
2022,10,22,15,0.66,25.94,4.5,70.48
2022,10,22,16,0.68,24.87,3.77,76.8
2022,10,22,17,0.65,22.72,2.59,88.67
2022,10,22,18,0.59,21.47,2.61,92.5
2022,10,22,19,0.42,21.01,2.73,93.73
2022,10,22,20,0.34,20.55,2.75,95.06
2022,10,22,21,0.17,20.09,2.66,96.52
2022,10,22,22,0.07,19.59,2.49,98.52
2022,10,22,23,0.01,19.14,2.26,100
2022,10,23,0,0.01,18.88,2.02,100
2022,10,23,1,0.02,18.63,1.73,100
2022,10,23,2,0.03,18.33,1.57,100
2022,10,23,3,0.04,18.02,1.54,100
2022,10,23,4,0.04,17.74,1.56,100
2022,10,23,5,0.05,17.48,1.62,100
2022,10,23,6,0.03,18.12,2.37,97.44
2022,10,23,7,0,19.85,2.97,90.91
2022,10,23,8,0,22.14,3.34,80.36
2022,10,23,9,0,23.87,3.36,73.11
2022,10,23,10,0,25.03,3.46,69.04
2022,10,23,11,0,25.87,3.59,65.53
2022,10,23,12,0,26.38,3.67,62.81
2022,10,23,13,0,26.51,3.79,61.36
2022,10,23,14,0,26.27,3.96,61.23
2022,10,23,15,0,25.61,3.99,63.26
2022,10,23,16,0,24.3,3.58,69.04
2022,10,23,17,0,21.48,2.89,82.85
2022,10,23,18,0,19.72,3.08,86.66
2022,10,23,19,0,18.9,3.31,87.47
2022,10,23,20,0,18.17,3.22,88.77
2022,10,23,21,0,17.6,2.99,89.78
2022,10,23,22,0,17.1,2.84,90.46
2022,10,23,23,0,16.64,2.71,90.92
2022,10,24,0,0,16.21,2.62,91.24
2022,10,24,1,0,15.81,2.52,91.42
2022,10,24,2,0,15.42,2.51,91.7
2022,10,24,3,0,15.06,2.54,91.72
2022,10,24,4,0,14.71,2.59,91.59
2022,10,24,5,0,14.4,2.66,91.38
2022,10,24,6,0,15.49,2.84,88.24
2022,10,24,7,0,17.96,3.67,77.54
2022,10,24,8,0,20.67,4.24,68.83
2022,10,24,9,0,22.58,5.18,61.98
2022,10,24,10,0,23.74,5.22,59.62
2022,10,24,11,0,24.59,5.3,58.09
2022,10,24,12,0,25.12,5.37,57.13
2022,10,24,13,0,25.3,5.35,56.75
2022,10,24,14,0,25.12,5.15,56.74
2022,10,24,15,0,24.59,4.63,57.35
2022,10,24,16,0,23.11,3.53,65.28
2022,10,24,17,0,19.78,2.85,80.47
2022,10,24,18,0,17.76,3.07,82.08
2022,10,24,19,0,16.83,3.14,81.73
2022,10,24,20,0,16.02,3.17,81.39
2022,10,24,21,0,15.39,3.13,81.25
2022,10,24,22,0,14.91,3.06,81.03
2022,10,24,23,0,14.56,2.96,80.64
2022,10,25,0,0,14.32,2.83,79.88
2022,10,25,1,0,14.12,2.7,79.14
2022,10,25,2,0,13.9,2.57,78.77
2022,10,25,3,0,13.76,2.48,78.48
2022,10,25,4,0,13.63,2.43,78.43
2022,10,25,5,0,13.52,2.41,78.87
2022,10,25,6,0,14.59,2.25,81.82
2022,10,25,7,0,18.16,2.56,70.19
2022,10,25,8,0,20.52,2.63,63.41
2022,10,25,9,0,23.02,2.94,54.65
2022,10,25,10,0,24.33,2.87,52.16
2022,10,25,11,0,25.27,2.95,50.98
2022,10,25,12,0,25.86,3.03,50.53
2022,10,25,13,0,26.09,3.06,50.5
2022,10,25,14,0,25.87,3.07,51.54
2022,10,25,15,0,25.32,2.91,54.24
2022,10,25,16,0,24.05,2.56,60.43
2022,10,25,17,0,20.66,2.37,77.95
2022,10,25,18,0,18.64,2.64,81.34
2022,10,25,19,0,17.72,2.81,83.54
2022,10,25,20,0,16.95,2.93,85.21
2022,10,25,21,0,16.32,2.99,86.35
2022,10,25,22,0,15.79,3.03,87.09
2022,10,25,23,0,15.34,3.02,87.5
2022,10,26,0,0,14.99,2.95,87.3
2022,10,26,1,0,14.74,2.88,86.59
2022,10,26,2,0,14.51,2.8,85.91
2022,10,26,3,0,14.33,2.69,84.87
2022,10,26,4,0,14.23,2.55,83.48
2022,10,26,5,0,14.28,2.35,81.39
2022,10,26,6,0,15.43,2,82.3
2022,10,26,7,0,19.1,1.88,71.91
2022,10,26,8,0,21.49,1.67,61.95
2022,10,26,9,0,23.77,1.54,52.12
2022,10,26,10,0,24.81,1.4,50.25
2022,10,26,11,0,25.58,1.29,49.28
2022,10,26,12,0,26.13,1.17,48.46
2022,10,26,13,0,26.41,1.01,48.09
2022,10,26,14,0,26.32,1.02,48.65
2022,10,26,15,0,25.81,1.3,51
2022,10,26,16,0,24.98,1.53,55.43
2022,10,26,17,0,22.03,1.85,69.11
2022,10,26,18,0,19.73,2.34,76.58
2022,10,26,19,0,18.35,2.74,82.53
2022,10,26,20,0,17.44,2.92,85.41
2022,10,26,21,0,16.72,2.96,87.19
2022,10,26,22,0,16.1,2.93,88.53
2022,10,26,23,0,15.54,2.89,89.74
2022,10,27,0,0,15.03,2.82,90.8
2022,10,27,1,0,14.57,2.78,91.8
2022,10,27,2,0,14.16,2.73,93.13
2022,10,27,3,0,13.79,2.7,95.57
2022,10,27,4,0,13.45,2.69,99.06
2022,10,27,5,0,13.19,2.7,100
2022,10,27,6,0,14.78,2.63,97.08
2022,10,27,7,0,18.04,3.58,85.48
2022,10,27,8,0,21.23,3.46,72.58
2022,10,27,9,0,23.58,3.24,59.16
2022,10,27,10,0,24.7,2.96,55.56
2022,10,27,11,0,25.48,2.84,53.33
2022,10,27,12,0,26.02,2.78,51.81
2022,10,27,13,0,26.26,2.7,51.26
2022,10,27,14,0,26.07,2.74,51.98
2022,10,27,15,0,25.44,2.77,54.89
2022,10,27,16,0.01,24.25,2.55,61.11
2022,10,27,17,0.01,20.97,2.39,78.79
2022,10,27,18,0.01,19.3,2.54,83.29
2022,10,27,19,0.01,18.72,2.6,85.89
2022,10,27,20,0.02,18.72,2.52,88.36
2022,10,27,21,0.02,18.34,2.53,90.64
2022,10,27,22,0.03,17.87,2.59,93.33
2022,10,27,23,0.08,17.77,2.64,95.67
2022,10,28,0,0.37,17.69,2.69,98.39
2022,10,28,1,0.17,17.24,2.53,100
2022,10,28,2,0.11,16.88,2.37,100
2022,10,28,3,0.06,16.76,2.25,100
2022,10,28,4,0.05,16.54,2.21,100
2022,10,28,5,0.07,16.36,2.2,100
2022,10,28,6,0.07,17.26,3.04,98.03
2022,10,28,7,0.07,19.36,4.02,90.06
2022,10,28,8,0.01,21.75,4.41,77.35
2022,10,28,9,0.03,23.59,4.08,68.63
2022,10,28,10,0.02,24.85,3.65,64.82
2022,10,28,11,0.07,25.66,3.29,63.94
2022,10,28,12,0.16,25.92,3.01,64.79
2022,10,28,13,0.28,25.98,2.86,65.87
2022,10,28,14,0.32,25.55,3.13,68.41
2022,10,28,15,0.54,24.5,3.55,74
2022,10,28,16,0.73,23.19,3.37,82.27
2022,10,28,17,0.86,21.79,2.73,91.34
2022,10,28,18,1.01,21.15,2.97,94.49
2022,10,28,19,1.08,20.81,3.48,95.64
2022,10,28,20,1.08,20.51,3.79,96.3
2022,10,28,21,0.95,20.16,3.78,96.83
2022,10,28,22,0.65,19.79,3.83,97.1
2022,10,28,23,0.37,19.47,3.94,97.27
2022,10,29,0,0.18,19.1,3.79,97.59
2022,10,29,1,0.08,18.71,3.26,98.14
2022,10,29,2,0.05,18.4,3.07,98.34
2022,10,29,3,0.03,18.01,2.74,99.04
2022,10,29,4,0.03,17.69,2.51,99.53
2022,10,29,5,0.02,17.41,2.39,99.92
2022,10,29,6,0.03,18.04,3.1,97.44
2022,10,29,7,0.03,19.7,4.19,92.44
2022,10,29,8,1.02,21.82,4.8,83.59
2022,10,29,9,1.45,23.69,4.72,75.52
2022,10,29,10,3.76,25.04,4.52,70.74
2022,10,29,11,4.92,25.9,4.29,68.27
2022,10,29,12,6.39,26.31,4,67.5
2022,10,29,13,8.24,26.5,3.62,67.81
2022,10,29,14,10.19,26.31,3.37,69.04
2022,10,29,15,10.67,25.63,3.24,73.27
2022,10,29,16,8.32,24.57,2.88,80.79
2022,10,29,17,9.84,22.78,2.42,90.67
2022,10,29,18,8.04,21.82,2.82,94.21
2022,10,29,19,5.82,21.43,3.67,95.27
2022,10,29,20,5.51,21.01,3.98,96.53
2022,10,29,21,3.77,20.54,4.21,97.1
2022,10,29,22,2.42,20.08,4.46,97.34
2022,10,29,23,1.49,19.61,3.97,97.64
2022,10,30,0,1.16,19.23,3.62,97.7
2022,10,30,1,0.88,18.92,3.63,97.77
2022,10,30,2,0.68,18.62,3.37,97.91
2022,10,30,3,0.66,18.34,3.03,98.14
2022,10,30,4,0.72,18.02,2.52,98.58
2022,10,30,5,0.8,17.72,2.16,98.96
2022,10,30,6,0.81,18.28,2.81,97.28
2022,10,30,7,0.37,19.59,4.25,93.33
2022,10,30,8,0,21.47,4.81,85.53
2022,10,30,9,0,23.54,4.59,76.58
2022,10,30,10,0,25.06,4.09,71.96
2022,10,30,11,0,25.96,3.63,69.61
2022,10,30,12,0,26.49,3.31,68.1
2022,10,30,13,0.01,26.72,3.1,66.67
2022,10,30,14,0.01,26.63,3.16,66.08
2022,10,30,15,0.01,26.05,3.35,68.5
2022,10,30,16,0.01,24.78,3.06,76.27
2022,10,30,17,0.01,22.78,2.67,87.23
2022,10,30,18,0.01,21.75,3.13,90.28
2022,10,30,19,0.01,21.23,3.78,91.25
2022,10,30,20,0,20.59,3.7,92.98
2022,10,30,21,0,19.92,2.98,94.81
2022,10,30,22,0,19.18,2.31,96.52
2022,10,30,23,0,18.52,2,98.44
2022,10,31,0,0,18.15,1.84,99.08
2022,10,31,1,0,17.99,1.75,99.25
2022,10,31,2,0,18.03,1.8,98.77
2022,10,31,3,0,18.09,2.03,98.4
2022,10,31,4,0,18.09,2.16,98.35
2022,10,31,5,0,17.94,2.13,98.56
2022,10,31,6,0,18.28,2.78,96.76
2022,10,31,7,0,19.34,3.63,92.05
2022,10,31,8,0,20.51,4.08,86.62
2022,10,31,9,0,21.57,4.13,81.85
2022,10,31,10,0,22.45,4.05,77.96
2022,10,31,11,0,23.22,3.92,74.39
2022,10,31,12,0,23.72,3.79,71.96
2022,10,31,13,0,23.85,3.67,71.11
2022,10,31,14,0,23.68,3.34,72.05
2022,10,31,15,0.01,23.25,2.73,75.3
2022,10,31,16,0.01,22.4,2.32,81.71
2022,10,31,17,0.02,20.78,2.11,90.04
2022,10,31,18,0.03,20.04,2.5,90.93
2022,10,31,19,0.02,19.76,2.93,91.29
2022,10,31,20,0.01,19.49,3.32,91.85
2022,10,31,21,0.01,19.13,3.21,92.96
2022,10,31,22,0,18.86,3.05,93.45
2022,10,31,23,0,18.76,2.99,93.6
2022,11,1,0,0,18.7,3.06,94.23
2022,11,1,1,0,18.64,3.13,95.33
2022,11,1,2,0,18.64,2.96,96.16
2022,11,1,3,0,18.64,2.73,96.77
2022,11,1,4,0,18.59,2.39,97.3
2022,11,1,5,0,18.56,2.29,97.62
2022,11,1,6,0,18.89,2.75,96.3
2022,11,1,7,0,19.66,3.16,93.51
2022,11,1,8,8.62,20.63,3.59,90.91
2022,11,1,9,13.2,21.43,4,89.52
2022,11,1,10,22.63,22.1,4.33,87.78
2022,11,1,11,28.79,22.72,4.68,85.86
2022,11,1,12,32.4,23.15,4.97,84.49
2022,11,1,13,30.43,23.22,5.18,84.36
2022,11,1,14,26.19,22.98,5.32,85.25
2022,11,1,15,20.14,22.49,5.02,87.46
2022,11,1,16,13.32,21.86,4.25,90.44
2022,11,1,17,9.26,20.67,3.21,94.38
2022,11,1,18,7.51,19.75,2.98,96.38
2022,11,1,19,6.75,19.26,2.84,97.76
2022,11,1,20,5.59,18.99,2.63,98.44
2022,11,1,21,3.8,18.8,2.33,98.58
2022,11,1,22,2.6,18.56,2.1,98.56
2022,11,1,23,1.92,18.22,1.87,98.84
2022,11,2,0,1.43,17.84,1.77,99.17
2022,11,2,1,1.2,17.58,1.68,99.29
2022,11,2,2,1.01,17.38,1.69,99.26
2022,11,2,3,1.06,17.2,1.74,99.13
2022,11,2,4,1.39,17.07,1.82,98.86
2022,11,2,5,1.78,17.09,1.95,98.29
2022,11,2,6,2.03,17.62,2.64,96.5
2022,11,2,7,7.6,18.63,3.35,93.47
2022,11,2,8,6.94,19.97,4.07,88.64
2022,11,2,9,7.35,21.62,4.9,84.79
2022,11,2,10,12.83,23.41,5.44,78.5
2022,11,2,11,16.71,24.62,5.7,72.44
2022,11,2,12,18.17,24.88,5.88,69.73
2022,11,2,13,17.46,24.73,5.94,69.74
2022,11,2,14,12.72,24.35,5.99,70.55
2022,11,2,15,8.18,23.49,5.59,74.49
2022,11,2,16,5.73,22.5,4.55,82.11
2022,11,2,17,3.2,20.86,2.97,91.82
2022,11,2,18,1.82,19.76,2.94,95.15
2022,11,2,19,0.73,19.28,3.16,96.17
2022,11,2,20,0.87,18.94,3.36,96.7
2022,11,2,21,0.96,18.41,2.87,98.39
2022,11,2,22,1.25,18.02,2.5,99.09
2022,11,2,23,1.22,17.61,2.31,98.88
2022,11,3,0,1.24,17.11,2.33,98.33
2022,11,3,1,1.43,16.56,2.41,97.52
2022,11,3,2,1.3,16.01,2.38,96.49
2022,11,3,3,1.25,15.72,2.44,95.05
2022,11,3,4,0.91,15.49,2.55,93.94
2022,11,3,5,0.78,15.28,2.65,93.2
2022,11,3,6,0.55,16.15,2.98,90.85
2022,11,3,7,0.37,18.2,3.9,84.46
2022,11,3,8,0.13,20.74,5.02,74.36
2022,11,3,9,0.18,22.93,6.24,66.72
2022,11,3,10,0.53,24.31,6.37,64.76
2022,11,3,11,1.58,25.14,5.98,64.38
2022,11,3,12,4.39,25.5,5.45,65.22
2022,11,3,13,9.62,25.5,5,66.75
2022,11,3,14,13.81,25.19,4.69,68.73
2022,11,3,15,20.02,24.32,4.37,73.72
2022,11,3,16,23.37,23.12,3.64,82.3
2022,11,3,17,21.75,21.46,2.54,92.47
2022,11,3,18,16.29,20.63,2.58,95.65
2022,11,3,19,5.92,20.29,2.83,96.61
2022,11,3,20,1.76,20,3.28,96.8
2022,11,3,21,1.23,19.56,3.01,97.84
2022,11,3,22,1.21,19.19,2.72,98.4
2022,11,3,23,1.57,18.81,2.32,98.78
2022,11,4,0,1.61,18.42,2.1,98.99
2022,11,4,1,1.67,18.04,2,98.74
2022,11,4,2,1.65,17.68,2.03,98.03
2022,11,4,3,1.53,17.24,2.07,97.85
2022,11,4,4,1.42,16.88,2.2,98.03
2022,11,4,5,1.49,16.74,2.44,97.68
2022,11,4,6,1.76,17.32,3.45,95.77
2022,11,4,7,1.08,18.79,4.48,92.34
2022,11,4,8,0.76,21.15,4.94,82.31
2022,11,4,9,0.57,23.3,5.52,72.53
2022,11,4,10,0.7,24.67,5.61,67.1
2022,11,4,11,1.21,25.53,5.44,64.71
2022,11,4,12,2.33,26.01,5.25,64.21
2022,11,4,13,3.44,26.03,5.13,65.02
2022,11,4,14,5.11,25.41,5.17,67.74
2022,11,4,15,5.23,24.46,5.2,72.31
2022,11,4,16,3.77,23.24,4.66,79.9
2022,11,4,17,2.1,21.36,3.8,88.76
2022,11,4,18,0.95,20.13,3.8,92.02
2022,11,4,19,0.32,19.33,3.58,93.49
2022,11,4,20,0.12,18.63,3.24,94.21
2022,11,4,21,0.06,18.1,2.95,94.6
2022,11,4,22,0.02,17.65,2.68,94.9
2022,11,4,23,0.02,17.24,2.5,95.19
2022,11,5,0,0.25,16.88,2.42,95.58
2022,11,5,1,0.9,16.56,2.42,96.48
2022,11,5,2,1.56,16.26,2.45,98.47
2022,11,5,3,1.81,16.08,2.48,100
2022,11,5,4,2.26,16.15,2.52,100
2022,11,5,5,3.18,16.47,2.68,100
2022,11,5,6,3.15,17.3,3.57,98.16
2022,11,5,7,2.37,18.75,4.46,92.3
2022,11,5,8,0.15,20.76,4.72,81.22
2022,11,5,9,0.08,22.83,5.06,67.45
2022,11,5,10,0.04,24.14,5.12,60.66
2022,11,5,11,0.05,25.03,4.95,58.38
